year,player,finish,r1_score,r2_score,r3_score,r4_score,total_score,prize_money,points
2020,Gary Woodland,CUT,72,73,--,--,145,,0
2020,Justin Harding,CUT,75,71,--,--,146,,0
2020,Brendon Todd,CUT,73,73,--,--,146,,0
2020,Lanto Griffin,CUT,74,73,--,--,147,,0
2020,Tyrrell Hatton,CUT,73,74,--,--,147,,0
2020,Kevin Kisner,CUT,71,76,--,--,147,,0
2020,Larry Mize,CUT,70,77,--,--,147,,0
2020,Matthew Wolff,CUT,70,77,--,--,147,,0
2020,Jason Day,CUT,70,78,--,--,148,,0
2020,Tyler Duncan,CUT,77,71,--,--,148,,0
2020,Jason Kokrak,CUT,71,77,--,--,148,,0
2020,J.T. Poston,CUT,73,75,--,--,148,,0
2020,James Sugrue,CUT,77,71,--,--,148,,0
2020,Fred Couples,CUT,77,73,--,--,150,,0
2020,Lukas Michel,CUT,76,74,--,--,150,,0
2020,Francesco Molinari,CUT,72,78,--,--,150,,0
2020,Lucas Glover,CUT,77,74,--,--,151,,0
2020,Nate Lashley,CUT,75,76,--,--,151,,0
2020,Sandy Lyle,CUT,78,73,--,--,151,,0
2020,Yuxin Lin,CUT,79,73,--,--,152,,0
2020,José María Olazábal,CUT,78,80,--,--,158,,0
2020,Abel Gallegos,CUT,79,81,--,--,160,,0
2020,Andrew Landry,CUT,78,82,--,--,160,,0
2020,Vijay Singh,W/D,75,--,--,--,75,,0
2020,Frederick van Rooyen,W/D,76,--,--,--,76,,0
2019,Tiger Woods,1,70,68,67,70,275,"$2,070,000 ",600
2019,Dustin Johnson,T2,68,70,70,68,276,"$858,667 ",230
2019,Brooks Koepka,T2,66,71,69,70,276,"$858,667 ",230
2019,Xander Schauffele,T2,73,65,70,68,276,"$858,667 ",230
2019,Jason Day,T5,70,67,73,67,277,"$403,938 ",106
2019,Tony Finau,T5,71,70,64,72,277,"$403,938 ",106
2019,Francesco Molinari,T5,70,67,66,74,277,"$403,938 ",106
2019,Webb Simpson,T5,72,71,64,70,277,"$403,938 ",106
2019,Patrick Cantlay,T9,73,73,64,68,278,"$310,500 ",82.33
2019,Rickie Fowler,T9,70,71,68,69,278,"$310,500 ",82.33
2019,Jon Rahm,T9,69,70,71,68,278,"$310,500 ",82.33
2019,Justin Harding,T12,69,69,70,72,280,"$225,400 ",0
2019,Matt Kuchar,T12,71,69,68,72,280,"$225,400 ",64.8
2019,Ian Poulter,T12,68,71,68,73,280,"$225,400 ",64.8
2019,Justin Thomas,T12,73,68,69,70,280,"$225,400 ",64.8
2019,Bubba Watson,T12,72,72,67,69,280,"$225,400 ",64.8
2019,Aaron Wise,17,75,71,68,67,281,"$184,000 ",57
2019,Patton Kizzire,T18,70,70,73,69,282,"$161,000 ",53
2019,Phil Mickelson,T18,67,73,70,72,282,"$161,000 ",53
2019,Adam Scott,T18,69,68,72,73,282,"$161,000 ",53
2019,Lucas Bjerregaard,T21,70,72,69,72,283,"$107,956 ",0
2019,Matthew Fitzpatrick,T21,78,67,68,70,283,"$107,956 ",0
2019,Si Woo Kim,T21,72,72,70,69,283,"$107,956 ",41.51
2019,Kevin Kisner,T21,69,73,72,69,283,"$107,956 ",41.51
2019,Rory McIlroy,T21,73,71,71,68,283,"$107,956 ",41.51
2019,Thorbjørn Olesen,T21,71,71,68,73,283,"$107,956 ",0
2019,Jordan Spieth,T21,75,68,69,71,283,"$107,956 ",41.51
2019,Kyle Stanley,T21,72,72,70,69,283,"$107,956 ",41.51
2019,Bryson DeChambeau,T29,66,75,73,70,284,"$78,200 ",31.73
2019,Charley Hoffman,T29,71,71,72,70,284,"$78,200 ",31.73
2019,Louis Oosthuizen,T29,71,66,71,76,284,"$78,200 ",31.73
2019,Charles Howell III,T32,73,67,76,69,285,"$68,042 ",25.93
2019,Hideki Matsuyama,T32,75,70,68,72,285,"$68,042 ",25.93
2019,Gary Woodland,T32,70,71,74,70,285,"$68,042 ",25.93
2019,Viktor Hovland,T32,72,71,71,71,285,,0
2019,Rafa Cabrera Bello,T36,73,70,75,68,286,"$55,488 ",19.27
2019,Tommy Fleetwood,T36,71,71,70,74,286,"$55,488 ",19.27
2019,Patrick Reed,T36,73,70,74,69,286,"$55,488 ",19.27
2019,Henrik Stenson,T36,74,72,67,73,286,"$55,488 ",19.27
2019,Kevin Tway,T36,72,71,70,73,286,"$55,488 ",19.27
2019,Jimmy Walker,T36,72,72,72,70,286,"$55,488 ",19.27
2019,Alvaro Ortiz,T36,73,71,73,69,286,,0
2019,Keegan Bradley,T43,76,68,71,72,287,"$44,850 ",13.6
2019,Haotong Li,T43,72,74,73,68,287,"$44,850 ",0
2019,Keith Mitchell,T43,72,74,72,69,287,"$44,850 ",13.6
2019,Corey Conners,T46,70,71,71,76,288,"$37,950 ",11.33
2019,Andrew Landry,T46,72,73,73,70,288,"$37,950 ",11.33
2019,Kevin Na,T46,71,73,73,71,288,"$37,950 ",11.33
2019,Kiradech Aphibarnrat,T49,69,72,75,73,289,"$32,430 ",9.92
2019,Marc Leishman,T49,72,72,70,75,289,"$32,430 ",9.92
2019,Trevor Immelman,T51,74,72,75,69,290,"$28,693 ",8.22
2019,Martin Kaymer,T51,73,74,72,71,290,"$28,693 ",8.22
2019,Eddie Pepperell,T51,74,73,72,71,290,"$28,693 ",0
2019,Cameron Smith,T51,70,74,69,77,290,"$28,693 ",8.22
2019,Devon Bling,55,74,73,71,73,291,,0
2019,Tyrrell Hatton,T56,73,73,72,74,292,"$26,910 ",6.46
2019,Billy Horschel,T56,72,75,74,71,292,"$26,910 ",6.46
2019,Branden Grace,T58,72,75,72,74,293,"$26,335 ",5.89
2019,Zach Johnson,T58,74,73,73,73,293,"$26,335 ",5.89
2019,Takumi Kanaya,T58,73,74,68,78,293,,0
2019,Satoshi Kodaira,61,75,70,73,76,294,"$25,990 ",5.44
2019,Emiliano Grillo,T62,72,75,73,76,296,"$25,415 ",4.87
2019,J.B. Holmes,T62,70,72,74,80,296,"$25,415 ",4.87
2019,Bernhard Langer,T62,71,72,75,78,296,"$25,415 ",4.87
2019,Alex Noren,T62,75,72,75,74,296,"$25,415 ",4.87
2019,Stewart Cink,CUT,76,72,--,--,148,,0
2019,Sergio Garcia,CUT,73,75,--,--,148,,0
2019,Sandy Lyle,CUT,73,75,--,--,148,,0
2019,Kevin O'Connell,CUT,77,71,--,--,148,,0
2019,Justin Rose,CUT,75,73,--,--,148,,0
2019,Mike Weir,CUT,72,76,--,--,148,,0
2019,Danny Willett,CUT,75,73,--,--,148,,0
2019,Fred Couples,CUT,78,71,--,--,149,,0
2019,Adam Long,CUT,75,74,--,--,149,,0
2019,Charl Schwartzel,CUT,77,72,--,--,149,,0
2019,Brandt Snedeker,CUT,75,74,--,--,149,,0
2019,Shugo Imahira,CUT,76,74,--,--,150,,0
2019,Shane Lowry,CUT,78,73,--,--,151,,0
2019,Larry Mize,CUT,77,74,--,--,151,,0
2019,Jovan Rebula,CUT,73,79,--,--,152,,0
2019,Matt Wallace,CUT,75,77,--,--,152,,0
2019,Paul Casey,CUT,81,73,--,--,154,,0
2019,Michael Kim,CUT,76,78,--,--,154,,0
2019,Vijay Singh,CUT,80,76,--,--,156,,0
2019,Ian Woosnam,CUT,80,76,--,--,156,,0
2019,Angel Cabrera,CUT,82,75,--,--,157,,0
2019,José María Olazábal,CUT,78,79,--,--,157,,0
2018,Patrick Reed,1,69,66,67,71,273,"$1,980,000 ",600
2018,Rickie Fowler,2,70,72,65,67,274,"$1,188,000 ",330
2018,Jordan Spieth,3,66,74,71,64,275,"$748,000 ",210
2018,Jon Rahm,4,75,68,65,69,277,"$528,000 ",150
2018,Rory McIlroy,T5,69,71,65,74,279,"$386,375 ",106
2018,Cameron Smith,T5,71,72,70,66,279,"$386,375 ",106
2018,Henrik Stenson,T5,69,70,70,70,279,"$386,375 ",106
2018,Bubba Watson,T5,73,69,68,69,279,"$386,375 ",106
2018,Marc Leishman,9,70,67,73,70,280,"$319,000 ",88
2018,Tony Finau,T10,68,74,73,66,281,"$286,000 ",79.5
2018,Dustin Johnson,T10,73,68,71,69,281,"$286,000 ",79.5
2018,Charley Hoffman,T12,69,73,73,67,282,"$231,000 ",68
2018,Louis Oosthuizen,T12,71,71,71,69,282,"$231,000 ",68
2018,Justin Rose,T12,72,70,71,69,282,"$231,000 ",68
2018,Paul Casey,T15,74,75,69,65,283,"$192,500 ",60
2018,Russell Henley,T15,73,72,71,67,283,"$192,500 ",60
2018,Tommy Fleetwood,T17,72,72,66,74,284,"$170,500 ",56
2018,Justin Thomas,T17,74,67,70,73,284,"$170,500 ",56
2018,Hideki Matsuyama,19,73,71,72,69,285,"$154,000 ",53
2018,Jason Day,T20,75,71,69,71,286,"$128,150 ",47.6
2018,Francesco Molinari,T20,72,74,70,70,286,"$128,150 ",47.6
2018,Webb Simpson,T20,76,73,70,67,286,"$128,150 ",47.6
2018,Jimmy Walker,T20,73,71,71,71,286,"$128,150 ",47.6
2018,Branden Grace,T24,73,73,74,67,287,"$93,775 ",39.38
2018,Adam Hadwin,T24,69,75,72,71,287,"$93,775 ",39.38
2018,Si Woo Kim,T24,75,73,68,71,287,"$93,775 ",39.38
2018,Bernd Wiesberger,T24,70,73,72,72,287,"$93,775 ",0
2018,Kevin Kisner,T28,72,75,69,72,288,"$76,450 ",32.58
2018,Satoshi Kodaira,T28,71,74,71,72,288,"$76,450 ",0
2018,Matt Kuchar,T28,68,75,72,73,288,"$76,450 ",32.58
2018,Ryan Moore,T28,74,72,72,70,288,"$76,450 ",32.58
2018,Daniel Berger,T32,73,74,71,71,289,"$63,663 ",25.93
2018,Haotong Li,T32,69,76,72,72,289,"$63,663 ",0
2018,Adam Scott,T32,75,73,70,71,289,"$63,663 ",25.93
2018,Tiger Woods,T32,73,75,72,69,289,"$63,663 ",25.93
2018,Zach Johnson,T36,70,74,74,72,290,"$55,275 ",22.1
2018,Phil Mickelson,T36,70,79,74,67,290,"$55,275 ",22.1
2018,Rafa Cabrera Bello,T38,69,76,74,72,291,"$46,200 ",17.57
2018,Fred Couples,T38,72,74,73,72,291,"$46,200 ",17.57
2018,Bryson DeChambeau,T38,74,74,72,71,291,"$46,200 ",17.57
2018,Matthew Fitzpatrick,T38,75,74,67,75,291,"$46,200 ",0
2018,Bernhard Langer,T38,74,74,71,72,291,"$46,200 ",17.57
2018,Jhonattan Vegas,T38,77,69,72,73,291,"$46,200 ",17.57
2018,Kiradech Aphibarnrat,T44,79,70,72,71,292,"$35,200 ",0
2018,Brian Harman,T44,73,74,76,69,292,"$35,200 ",12.33
2018,Tyrrell Hatton,T44,74,75,73,70,292,"$35,200 ",12.33
2018,Ian Poulter,T44,74,75,74,69,292,"$35,200 ",12.33
2018,Martin Kaymer,48,74,73,74,73,294,"$30,140 ",10.77
2018,Vijay Singh,49,71,74,79,71,295,"$28,600 ",10.2
2018,Xander Schauffele,T50,71,78,72,75,296,"$27,720 ",9.35
2018,Doug Ghim,T50,72,76,74,74,296,,0
2018,Kyle Stanley,52,72,74,75,76,297,"$27,060 ",8.5
2018,Chez Reavie,53,76,71,75,76,298,"$26,400 ",7.93
2018,Jason Dufner,CUT,73,77,--,--,150,,0
2018,Sandy Lyle,CUT,74,76,--,--,150,,0
2018,José María Olazábal,CUT,74,76,--,--,150,,0
2018,Charl Schwartzel,CUT,72,78,--,--,150,,0
2018,Patrick Cantlay,CUT,75,76,--,--,151,,0
2018,Dylan Frittelli,CUT,77,74,--,--,151,,0
2018,Thomas Pieters,CUT,73,78,--,--,151,,0
2018,"Ted Potter, Jr.",CUT,73,78,--,--,151,,0
2018,Shubhankar Sharma,CUT,77,74,--,--,151,,0
2018,Brendan Steele,CUT,76,75,--,--,151,,0
2018,Danny Willett,CUT,75,76,--,--,151,,0
2018,Wesley Bryan,CUT,74,78,--,--,152,,0
2018,Ross Fisher,CUT,78,74,--,--,152,,0
2018,Patton Kizzire,CUT,76,76,--,--,152,,0
2018,Pat Perez,CUT,73,79,--,--,152,,0
2018,Kevin Chappell,CUT,77,76,--,--,153,,0
2018,Yuta Ikeda,CUT,76,77,--,--,153,,0
2018,Trevor Immelman,CUT,78,75,--,--,153,,0
2018,Joaquin Niemann,CUT,76,77,--,--,153,,0
2018,Alex Noren,CUT,74,79,--,--,153,,0
2018,Doc Redman,CUT,76,77,--,--,153,,0
2018,Austin Cook,CUT,74,80,--,--,154,,0
2018,Yusaku Miyazato,CUT,77,77,--,--,154,,0
2018,Gary Woodland,CUT,78,76,--,--,154,,0
2018,Billy Horschel,CUT,76,79,--,--,155,,0
2018,Mike Weir,CUT,76,79,--,--,155,,0
2018,Ian Woosnam,CUT,79,76,--,--,155,,0
2018,Larry Mize,CUT,76,80,--,--,156,,0
2018,Angel Cabrera,CUT,76,83,--,--,159,,0
2018,Sergio Garcia,CUT,81,78,--,--,159,,0
2018,Yuxin Lin,CUT,79,80,--,--,159,,0
2018,Mark O'Meara,CUT,78,81,--,--,159,,0
2018,Matt Parziale,CUT,81,79,--,--,160,,0
2018,Harry Ellis,CUT,86,80,--,--,166,,0
2017,Sergio Garcia,1,71,69,70,69,279,"$1,980,000 ",600
2017,Justin Rose,2,71,72,67,69,279,"$1,188,000 ",330
2017,Charl Schwartzel,3,74,72,68,68,282,"$748,000 ",210
2017,Matt Kuchar,T4,72,73,71,67,283,"$484,000 ",135
2017,Thomas Pieters,T4,72,68,75,68,283,"$484,000 ",0
2017,Paul Casey,6,72,75,69,68,284,"$396,000 ",110
2017,Kevin Chappell,T7,71,76,70,68,285,"$354,750 ",97
2017,Rory McIlroy,T7,72,73,71,69,285,"$354,750 ",97
2017,Ryan Moore,T9,74,69,69,74,286,"$308,000 ",85
2017,Adam Scott,T9,75,69,69,73,286,"$308,000 ",85
2017,Rickie Fowler,T11,73,67,71,76,287,"$233,200 ",68.4
2017,Russell Henley,T11,71,76,71,69,287,"$233,200 ",68.4
2017,Brooks Koepka,T11,74,73,71,69,287,"$233,200 ",68.4
2017,Hideki Matsuyama,T11,76,70,74,67,287,"$233,200 ",68.4
2017,Jordan Spieth,T11,75,69,68,75,287,"$233,200 ",68.4
2017,Martin Kaymer,T16,78,68,74,68,288,"$181,500 ",0
2017,Steve Stricker,T16,75,73,72,68,288,"$181,500 ",58
2017,Fred Couples,T18,73,70,74,72,289,"$148,500 ",51.93
2017,Pat Perez,T18,74,74,70,71,289,"$148,500 ",51.93
2017,Jimmy Walker,T18,76,71,70,72,289,"$148,500 ",51.93
2017,Lee Westwood,T18,70,77,68,74,289,"$148,500 ",0
2017,Jason Day,T22,74,76,69,71,290,"$105,600 ",42.27
2017,Charley Hoffman,T22,65,75,72,78,290,"$105,600 ",42.27
2017,William McGirt,T22,69,73,74,74,290,"$105,600 ",42.27
2017,Phil Mickelson,T22,71,73,74,72,290,"$105,600 ",42.27
2017,Justin Thomas,T22,73,76,71,70,290,"$105,600 ",42.27
2017,Daniel Berger,T27,77,73,72,69,291,"$78,100 ",33.43
2017,Branden Grace,T27,76,74,71,70,291,"$78,100 ",33.43
2017,Jon Rahm,T27,73,70,73,75,291,"$78,100 ",33.43
2017,Brandt Snedeker,T27,75,74,69,73,291,"$78,100 ",33.43
2017,Brendan Steele,T27,74,73,75,69,291,"$78,100 ",33.43
2017,Matthew Fitzpatrick,32,71,78,73,70,292,"$68,200 ",0
2017,Byeong Hun An,T33,76,73,74,70,293,"$62,150 ",25.12
2017,Jason Dufner,T33,71,76,70,76,293,"$62,150 ",25.12
2017,Francesco Molinari,T33,78,72,71,72,293,"$62,150 ",25.12
2017,Bill Haas,T36,75,72,71,76,294,"$52,938 ",20.4
2017,Adam Hadwin,T36,75,74,75,70,294,"$52,938 ",20.4
2017,Søren Kjeldsen,T36,72,73,71,78,294,"$52,938 ",20.4
2017,Brian Stuard,T36,77,70,74,73,294,"$52,938 ",20.4
2017,Stewart Hagestad,T36,74,73,74,73,294,,0
2017,Ross Fisher,T41,76,74,74,71,295,"$46,200 ",0
2017,Louis Oosthuizen,T41,77,71,76,71,295,"$46,200 ",16.43
2017,Kevin Kisner,T43,74,75,74,73,296,"$40,700 ",13.6
2017,Marc Leishman,T43,73,74,78,71,296,"$40,700 ",13.6
2017,Bernd Wiesberger,T43,77,72,76,71,296,"$40,700 ",0
2017,Daniel Summerhays,T46,74,75,75,73,297,"$36,300 ",11.62
2017,Curtis Luck,T46,78,72,75,72,297,,0
2017,James Hahn,T48,75,75,75,73,298,"$33,000 ",10.48
2017,Andy Sullivan,T48,71,78,76,73,298,"$33,000 ",0
2017,J.B. Holmes,50,78,72,73,76,299,"$30,140 ",9.63
2017,Emiliano Grillo,51,79,70,73,78,300,"$28,600 ",9.07
2017,Larry Mize,52,74,76,79,76,305,"$27,720 ",8.5
2017,Ernie Els,53,72,75,83,78,308,"$27,060 ",7.93
2017,Jim Furyk,CUT,78,73,--,--,151,,0
2017,Billy Hurley III,CUT,75,76,--,--,151,,0
2017,Yuta Ikeda,CUT,74,77,--,--,151,,0
2017,Zach Johnson,CUT,77,74,--,--,151,,0
2017,Shane Lowry,CUT,72,79,--,--,151,,0
2017,Kevin Na,CUT,76,75,--,--,151,,0
2017,Danny Willett,CUT,73,78,--,--,151,,0
2017,Chris Wood,CUT,74,77,--,--,151,,0
2017,Rafa Cabrera Bello,CUT,75,77,--,--,152,,0
2017,Tommy Fleetwood,CUT,78,74,--,--,152,,0
2017,Russell Knox,CUT,76,76,--,--,152,,0
2017,Alex Noren,CUT,74,78,--,--,152,,0
2017,Rod Pampling,CUT,74,78,--,--,152,,0
2017,Scott Piercy,CUT,73,79,--,--,152,,0
2017,Webb Simpson,CUT,75,77,--,--,152,,0
2017,Henrik Stenson,CUT,77,75,--,--,152,,0
2017,Bubba Watson,CUT,74,78,--,--,152,,0
2017,Brad Dalke,CUT,78,75,--,--,153,,0
2017,Bernhard Langer,CUT,75,78,--,--,153,,0
2017,Sean O'Hair,CUT,76,77,--,--,153,,0
2017,José María Olazábal,CUT,77,76,--,--,153,,0
2017,Patrick Reed,CUT,76,77,--,--,153,,0
2017,Vijay Singh,CUT,78,75,--,--,153,,0
2017,Hudson Swafford,CUT,77,76,--,--,153,,0
2017,Angel Cabrera,CUT,79,75,--,--,154,,0
2017,Jhonattan Vegas,CUT,78,76,--,--,154,,0
2017,Ian Woosnam,CUT,76,78,--,--,154,,0
2017,Trevor Immelman,CUT,79,76,--,--,155,,0
2017,Mike Weir,CUT,76,79,--,--,155,,0
2017,Gary Woodland,CUT,75,80,--,--,155,,0
2017,Si Woo Kim,CUT,75,81,--,--,156,,0
2017,Mark O'Meara,CUT,78,78,--,--,156,,0
2017,Hideto Tanihara,CUT,76,80,--,--,156,,0
2017,Jeunghun Wang,CUT,78,78,--,--,156,,0
2017,Roberto Castro,CUT,79,78,--,--,157,,0
2017,Scott Gregory,CUT,82,75,--,--,157,,0
2017,Tyrrell Hatton,CUT,80,78,--,--,158,,0
2017,Mackenzie Hughes,CUT,79,80,--,--,159,,0
2017,Sandy Lyle,CUT,77,83,--,--,160,,0
2017,Tomas Gana,CUT,81,80,--,--,161,,0
2016,Danny Willett,1,70,74,72,67,283,"$1,800,000 ",0
2016,Jordan Spieth,T2,66,74,73,73,286,"$880,000 ",270
2016,Lee Westwood,T2,71,75,71,69,286,"$880,000 ",0
2016,Paul Casey,T4,69,77,74,67,287,"$413,333 ",126.67
2016,J.B. Holmes,T4,72,73,74,68,287,"$413,333 ",126.67
2016,Dustin Johnson,T4,73,71,72,71,287,"$413,333 ",126.67
2016,Matthew Fitzpatrick,T7,71,76,74,67,288,"$311,667 ",0
2016,Søren Kjeldsen,T7,69,74,74,71,288,"$311,667 ",0
2016,Hideki Matsuyama,T7,71,72,72,73,288,"$311,667 ",94
2016,Daniel Berger,T10,73,71,74,71,289,"$230,000 ",72.6
2016,Jason Day,T10,72,73,71,73,289,"$230,000 ",72.6
2016,Rory McIlroy,T10,70,71,77,71,289,"$230,000 ",72.6
2016,Justin Rose,T10,69,77,73,70,289,"$230,000 ",72.6
2016,Brandt Snedeker,T10,71,72,74,72,289,"$230,000 ",72.6
2016,Kiradech Aphibarnrat,T15,72,72,77,70,291,"$175,000 ",0
2016,Louis Oosthuizen,T15,72,77,71,71,291,"$175,000 ",60
2016,Rafa Cabrera Bello,T17,74,73,75,70,292,"$145,000 ",0
2016,Emiliano Grillo,T17,71,75,74,72,292,"$145,000 ",54
2016,Billy Horschel,T17,70,77,73,72,292,"$145,000 ",54
2016,Danny Lee,T17,68,74,79,71,292,"$145,000 ",54
2016,Jamie Donaldson,T21,74,72,75,72,293,"$116,000 ",49
2016,Brooks Koepka,T21,73,72,76,72,293,"$116,000 ",49
2016,Bryson DeChambeau,T21,72,72,77,72,293,,0
2016,Angel Cabrera,T24,73,73,73,75,294,"$89,000 ",45
2016,Bill Haas,T24,75,74,72,73,294,"$89,000 ",45
2016,Matt Kuchar,T24,75,73,72,74,294,"$89,000 ",45
2016,Bernhard Langer,T24,72,73,70,79,294,"$89,000 ",45
2016,Henrik Stenson,T24,72,75,78,69,294,"$89,000 ",45
2016,Charley Hoffman,T29,71,77,73,74,295,"$68,000 ",40
2016,Smylie Kaufman,T29,73,72,69,81,295,"$68,000 ",40
2016,Scott Piercy,T29,70,72,79,74,295,"$68,000 ",40
2016,Webb Simpson,T29,77,72,74,72,295,"$68,000 ",40
2016,Jimmy Walker,T29,71,75,74,75,295,"$68,000 ",40
2016,Sergio Garcia,T34,69,75,81,71,296,"$56,500 ",36
2016,Kevin Streelman,T34,71,75,79,71,296,"$56,500 ",36
2016,Bernd Wiesberger,T34,73,72,79,72,296,"$56,500 ",0
2016,Kevin Kisner,T37,77,72,76,72,297,"$50,250 ",33.5
2016,Bubba Watson,T37,75,75,76,71,297,"$50,250 ",33.5
2016,Shane Lowry,T39,68,76,79,75,298,"$46,000 ",31
2016,Justin Thomas,T39,76,73,78,71,298,"$46,000 ",31
2016,Romain Langasque,T39,74,73,83,68,298,,0
2016,Victor Dubuisson,T42,73,76,76,74,299,"$37,000 ",0
2016,Harris English,T42,74,73,76,76,299,"$37,000 ",26
2016,Anirban Lahiri,T42,76,73,75,75,299,"$37,000 ",26
2016,Davis Love III,T42,73,73,76,77,299,"$37,000 ",26
2016,Troy Merritt,T42,74,71,79,75,299,"$37,000 ",26
2016,Adam Scott,T42,76,72,75,76,299,"$37,000 ",26
2016,Chris Wood,T42,72,73,75,79,299,"$37,000 ",0
2016,Martin Kaymer,T49,74,75,79,72,300,"$27,467 ",0
2016,Ian Poulter,T49,69,78,82,71,300,"$27,467 ",21
2016,Patrick Reed,T49,76,73,75,76,300,"$27,467 ",21
2016,Keegan Bradley,T52,74,73,77,77,301,"$24,900 ",18.5
2016,Larry Mize,T52,76,73,78,74,301,"$24,900 ",18.5
2016,Hunter Mahan,54,73,75,78,76,302,"$24,000 ",17
2016,Kevin Na,T55,72,74,85,72,303,"$23,400 ",15.5
2016,Cameron Smith,T55,74,73,82,74,303,"$23,400 ",15.5
2016,Thongchai Jaidee,57,72,76,81,78,307,"$23,000 ",0
